Date Received - DPS,Action Date,Requisition Number,Description of Good or Services,Vendor Name,Department Name,Requisition Amount,Justification,Approved/Denied,Request for New Contract/Mod,Requisition# for New Contract/Mod,Contract Awarded?,Contract Number Awarded,Check BPA,Exhibit B Status,Procurement Process Phase
2021-01-22 15:23:05,2021-01-27,383566,"Janitorial Services for WIC on 2400 S.  Kedzie  Avfor Dec 1st to Dec 31st,2020",DAYSPRING PROFESSIONAL JANITOR,41-CHICAGO DEPARTMENT OF PUBLIC HEALTH,1561.48,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,No,Completed,H. One Time Purchase
2021-03-22 12:41:18,2021-03-23,392923,"JANITORIAL SERV.S FOR JAN/ FEB 2120 ¿ WIC 2400 SO. KEDZIE 3,168.24",DAYSPRING PROFESSIONAL JANITOR,41-CHICAGO DEPARTMENT OF PUBLIC HEALTH,3168.24,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,,No,,No,Completed,A. Specification Development Phase
2021-05-20 10:17:47,2021-05-26,403875,"EXHIBIT B, APR 1-30, 2021, JAN. SERV. FOR WIC 2400 S. KEDZIE S. GARCIA  1, 606.76",DAYSPRING PROFESSIONAL JANITOR,41-CHICAGO DEPARTMENT OF PUBLIC HEALTH,1606.76,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,No,70944,No,,No,Completed,A. Specification Development Phase
2022-12-09 10:53:50,2023-01-09,500736,RENTAL OF WATER COOLERS AND PURCHASE OF WATER FOR CPD,BLUETRITON BRANDS INC,57-CHICAGO POLICE DEPARTMENT,2099.93,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,498214,No,,Yes,Completed,A. Specification Development Phase
2022-12-22 15:51:58,2023-01-09,503889,FFIB PURCHASE OF WATER AND COOLER RENTAL FOR CFD,BLUETRITON BRANDS INC,59-CHICAGO FIRE DEPARTMENT,148.58,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,498214,No,,Yes,Completed,A. Specification Development Phase
2023-01-18 10:54:49,2023-01-19,508175,CPD WATER COOLER RENTAL AND WATER PURCHASE FOR 11/13/22-12/12/22,BLUETRITON BRANDS INC,51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,1607.67,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,498214,No,,Yes,Completed,A. Specification Development Phase
2023-02-06 09:09:08,2023-02-09,512177,STOCK/WATER CHEMICALS / INV # 628214A,H-O-H WATER TECHNOLOGY INC,85-CHICAGO DEPARTMENT OF AVIATION,24.0,4. Invoice Reconciliation - Invoice Received after Contract Expiration,APPROVED,No,,No,33772,Yes,Completed,G. Not Applicable (Office Depot use Only)
2023-02-24 12:09:26,2023-05-12,515677,HOH Water Technology. PO-197577. WO-5110105. 177614 16FEB2023 City Hall 6 Testing.,H-O-H WATER TECHNOLOGY INC,38-DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,0.0,2. Pending Amendment/Modification - Line Item Addition / Vendor Limit Increase / Scope Change,,No,496749,Yes,,Yes,,A. Specification Development Phase
2023-02-24 12:59:55,2023-05-12,515709,HOH Water Technology. PO 197577. WO 5109570. 177614 16FEB2023 City Hall 5 Biocide,H-O-H WATER TECHNOLOGY INC,38-DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,0.0,2. Pending Amendment/Modification - Line Item Addition / Vendor Limit Increase / Scope Change,,No,496749,Yes,,Yes,,A. Specification Development Phase
2023-03-01 11:08:36,2023-03-03,516426,Water,BLUETRITON BRANDS INC,81-DEPARTMENT OF STREETS AND SANITATION,336.67,1. Pending New Contract - Original Contract Expired. New Contract in Process,APPROVED,Yes,511569,No,0,Yes,Completed,A. Specification Development Phase
