Department Name,BLUETRITON BRANDS INC,BREWSMART BEVERAGE,"DS Services of America, Inc.",HINCKLEY SPRINGS,TOTAL
59-CHICAGO FIRE DEPARTMENT,2,0,26,0,28
85-CHICAGO DEPARTMENT OF AVIATION,33,0,0,0,33
81-DEPARTMENT OF STREETS AND SANITATION,76,0,0,0,76
50-DEPARTMENT OF FAMILY AND SUPPORT SERVICES,8,0,0,0,8
51-OFFICE OF PUBLIC SAFETY ADMINISTRATION,1,0,3,23,27
88-DEPARTMENT OF WATER MANAGEMENT,2,0,0,0,2
57-CHICAGO POLICE DEPARTMENT,2,0,1,12,15
84-CHICAGO DEPARTMENT OF TRANSPORTATION,14,0,0,0,14
73-CHICAGO ANIMAL CARE AND CONTROL,5,0,0,0,5
31-DEPARTMENT OF LAW,0,1,0,0,1
70-DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,8,0,0,0,8
35-DEPARTMENT OF PROCUREMENT SERVICES,21,0,0,0,21
60-CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,2,0,0,0,2
