pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
MAINTENANCE AND REPAIR OF DIESEL ELECTRIC GENERATORS AND FIRE PUMPS AT O'HARE AND MIDWAY INTERNATIONAL AIRPORTS - GROUP A,exact,Facilities Operations & Maintenance,909,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=486): Maintenance and repair of airport facility equipment (diesel-electric generators and fire pumps) at O'Hare and Midway ai"
AUTO GLASS REPLACEMENT,exact,Vehicles & Fleet,929,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=458): Auto glass replacement is a vehicle maintenance service; NIGP 929 explicitly covers windshield and window glass replacem"
"CUSTOM SIGNS AND BANNER PRINTING, INSTALLATION AND REPAIR",exact,"Office, Print & Marketing",801,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=458): Custom signs and banner printing directly aligns with office printing and marketing materials, mapped to NIGP 801 (Signs"
"MSA SELF CONTAINED BREATHING APPARATUS (SCBA), HONEYWELL POSICHEK AND OCCUPATIONAL HEALTH DYNAMICS (OHD) QUANTIFIT SYSTEM EQUIPMENT MAINTENANCE, REPAIR, PARTS AND SUPPLIES",exact,Professional & Administrative Services,992,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=456): SCBA equipment maintenance and testing for public safety personnel directly matches NIGP 992 (Testing and Calibration Se  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
AIRSIDE CONCRETE MAINTENANCE AND REPAIR AT OHARE AND MIDWAY INTERNATIONAL AIRPORTS,exact,Construction & Trades Services,913,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=450): NIGP 913 explicitly covers bridge construction maintenance and repair with traffic control, and is the closest match for  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"1254620: ASPHALT CENTRAL EAST - ASPHALT PRIMERS, HOT/WARM MIX ASPHALT, HIGH PERFORMANCE/STANDARD COLD PATCH, HOT POUR JOINT SEALER MATERIALS, FURNISH & DELIVER",exact,Construction Materials,745,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=426): The description explicitly covers hot mix asphalt materials (primers, asphalt products) which directly maps to NIGP 745   [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"Grant Agreement, CityArts Small",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=423): Grant agreement disbursement to CityArts organization qualifies as subgrant pass-through funding."
"1254624: ASPHALT NORTHWEST - ASPHALT PRIMERS, HOT/WARM MIX ASPHALT, HIGH PERFORMANCE/STANDARD COLD PATCH, HOT POUR JOINT SEALER MATERIALS, FURNISH & DELIVER",exact,Construction Materials,745,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=423): This is a furnish and delivery order for asphalt materials (primers, hot/warm mix, cold patch, joint sealer), which maps  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
1220381: LIQUID CHLORINE,exact,Chemicals & Water Treatment,885,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=423): Liquid chlorine is a chemical used in water treatment and disinfection applications; matches NIGP 885 exactly."
"MAINTENANCE OF AUTOMATED EXTERNAL DEFIBRILLATOR (AED) PROGRAM; AND EMPLOYEE TRAINING IN AED, CARDIOPULMONARY RESUSCITATION (CPR), FIRST AID AND PUBLIC SAFETY DISPATCH AND RELATED SAFETY/SECURITY/PUBLIC SAFETY TOPICS (SPEC #1189209)",exact,Medical & Health Services,465,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=420): AED maintenance and related training directly aligns with cardiovascular instrumentation services, which NIGP 465 covers"
3 WHEELED STREET SWEEPERS GROUP (A),exact,Heavy Equipment & Machinery,765,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=418): Three-wheeled street sweepers are specialized road and highway equipment used for street cleaning; NIGP 765 explicitly c"
