nigp_code_10digit,nigp_class_3digit,nigp_item_5digit,canonical_description,description_variant_count,row_count,source
0107846050,010,01078,"INSULATION, PIPE - CHILLED WATER FIBERGLASS INSULATION W / VAPOR BARRIER 1-1/2 IN. THICKNESS, PIPE 4 IN. AND SMALLER",1,8,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846051,010,01078,"INSULATION, PIPE - CHILLED WATER FIBERGLASS INSULATION W / VAPOR BARRIER 2 IN. THICKNESS, PIPE 6 IN.",1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846052,010,01078,"INSULATION, PIPE - CHILLED WATER FIBERGLASS INSULATION W / VAPOR BARRIER 2 IN. THICKNESS, PIPE 8 IN.",1,11,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846053,010,01078,"INSULATION, PIPE - CHILLED WATER FIBERGLASS INSULATION W / VAPOR BARRIER 2 IN. THICKNESS, PIPE 10 IN.",1,33,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846054,010,01078,"INSULATION, PIPE - CHILLED WATER FIBERGLASS INSULATION W / VAPOR BARRIER 2-1/2 IN. THICKNESS, PIPE 12 IN.",1,20,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846055,010,01078,"INSULATION, PIPE - CHILLED WATER FIBERGLASS INSULATION W / VAPOR BARRIER 2-1/2 IN. THICKNESS, PIPE 16 IN.",1,31,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846056,010,01078,"INSULATION, PIPE - CHILLED WATER FIBERGLASS INSULATION W / VAPOR BARRIER 3 IN. THICKNESS, PIPE 18 IN.",1,3,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846060,010,01078,"INSULATION, PIPE - CHILLED WATER FIBERGLASS INSULATION W / VAPOR BARRIER 3 IN. THICKNESS, PIPE 30 IN.",1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846069,010,01078,"INSULATION, PIPE - INSULATION JACKET, GATE VALVES 10 IN.",1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846089,010,01078,"INSULATION, PIPE - INSULATION JACKET, CONTROL VALVES 14 IN.",1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846093,010,01078,"INSULATION, PIPE - INSULATION JACKET, PRESSURE RELIEF VALVES 2- 1/2 IN. THRU 3 -1/2 IN.",1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846094,010,01078,"INSULATION, PIPE - INSULATION JACKET, PRESSURE RELIEF VALVES 4 - 6 IN.",1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846114,010,01078,"INSULATION, PIPE - CHILLED WATER, CONDITIONED AREA, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 4 IN.",1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846118,010,01078,"INSULATION, PIPE - CHILLED WATER, CONDITIONED AREA, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 8 IN.",1,7,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846120,010,01078,"INSULATION, PIPE - CHILLED WATER, CONDITIONED AREA, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 10 IN.",1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846122,010,01078,"INSULATION, PIPE - CHILLED WATER, CONDITIONED AREA, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 12 IN.",1,6,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846124,010,01078,"INSULATION, PIPE - CHILLED WATER, CONDITIONED AREA, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 18 IN.",1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846132,010,01078,"INSULATION, PIPE - INSULA TION JACKET, GATE VALUE14""",1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846137,010,01078,"INSULATION, PIPE - INSULATION JACKET, CHECK VALVES 14 IN.",1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846142,010,01078,"INSULATION, PIPE - INSULATION JACKET, CONTROL VALVES 4 -6""",1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846145,010,01078,"INSULATION, PIPE - INSULATION JACKET, CONTROL VALVES 16-20""",1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846148,010,01078,"INSULATION, PIPE - INSULATION JACKET, PRESSURE RELIEF  VALVES 10""",1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846149,010,01078,"INSULATION, PIPE - INSULATION JACKET, PRESSURE RELIEF  VALVES 12""",1,3,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846151,010,01078,"INSULATION, PIPE - INSULATION JACKET, PRESSURE RELIEF  VALVES 14""",1,3,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846152,010,01078,"INSULATION, PIPE - CONDENSER WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 1-1/2 IN. THICKNESS, PIPE 4 IN.",1,6,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846153,010,01078,"INSULATION, PIPE - INSULATION JACKET, PRESSURE RELIEF  VALVES 16-20""",1,2,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846154,010,01078,"INSULATION, PIPE - CONDENSER WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 2-1/2 IN. THICKNESS, PIPE 6 IN.",1,11,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846156,010,01078,"INSULATION, PIPE - CONDENSER WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 2-1/2 IN. THICKNESS, PIPE 8 IN.",1,3,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846158,010,01078,"INSULATION, PIPE - CONDENSER WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 2-1/2 IN. THICKNESS, PIPE 10 IN.",1,3,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846160,010,01078,"INSULATION, PIPE - CONDENSER WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 2-1/2 IN. THICKNESS, PIPE 18 IN.",1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846162,010,01078,"INSULATION, PIPE - CONDENSER WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 2-1/2 IN. THICKNESS, PIPE 24 IN.",1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846180,010,01078,"INSULATION, PIPE - DOMESTIC COLD WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 1 IN.",1,12,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846183,010,01078,"INSULATION, PIPE - DOMESTIC COLD WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 4 IN.",1,27,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846185,010,01078,"INSULATION, PIPE - DOMESTIC COLD WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 6 IN.",1,35,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846187,010,01078,"INSULATION, PIPE - DOMESTIC COLD WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 8 IN.",1,12,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846190,010,01078,"INSULATION, PIPE - DOMESTIC COLD WATER, FIBERGLASS INSULATION W / VAPOR BARRIER 1 IN. THICKNESS, PIPE 12 IN.",1,37,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
0107846201,010,01078,"INSULATION, PIPE - DOMESTIC HOT WATER FIBERGLASS INSULATION, 1-1/2 IN. THICKNESS FOR PIPE 4 IN.",1,6,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
