nigp_class_3digit,canonical_description,distinct_5digit,distinct_10digit,row_count,source
010,"INSULATION, PIPE - LOW TEMP WATER FIBERGLASS INSULATION 2-1/2 IN. THICKNESS, PIPE 8 IN.",1,55,854,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
020,"TREE & ROOT CUTTERS & GRINDERS - AGRICULTURAL EQUIPMENT, TREE AND ROOT CUTTERS AND STUMP GRINDERS - TOWABLE STUMP GRINDER",2,2,18,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
025,"AIR COMPRESSOR, BREATHING - FURNISH & INSTALL STATIONARY AIR COMPRESSOR SYSTEM PER SPECIFICATION",1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
031,"HVAC EQUIP, PARTS AND ACCESSORIES - MISCELLANEOUS MATERIAL MARGINS; NON-TRANE PARTS FOR EQUIP REPAIR AND MAINTENANCE, DISCOUNT OFF OF MOST CURRENT MANUFACTURER PRICE LIST 27.50% DISCOUNT",2,5,4237,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
035,"HELICOPTERS - HELICOPTER, CHICAGO POLICE DEPT. ENFORCEMENT, AS PER SPECIFICATIONS",3,3,6,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
037,PROMOTIONAL ITEMS (MISC) - RUSH DELIVERY SERVICES (WITHIN 48 HOURS),1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
040,"GRAZING ANIMALS - GRAZING ANIMALS, FOR LANDSCAPE GRAZING SERVICES, PRICED PER EACH ANIMAL PER DAY",3,5,53,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
055,"SIRENS, HORNS & BACK-UP ALAMS - STANDARD SIREN CONTROLLER, AWD POLICE PURSUIT UTILITY VEHICLE",8,22,617,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
060,"STEERING AND SUSPENSION - 7/8 U-BOLTS, DAYTON PART NO. 361-278",2,10,580,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
065,"AUTOMOTIVE BODIES, ACCESSORIES - TRUCK PARTS, HEAVY DUTY RUNNING BOARDS",6,16,146,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
