nigp_item_5digit,nigp_class_3digit,canonical_description,description_variant_count,distinct_10digit_codes,row_count,source
01078,010,"INSULATION, PIPE - LOW TEMP WATER FIBERGLASS INSULATION 2-1/2 IN. THICKNESS, PIPE 8 IN.",55,55,854,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
02004,020,BRUSH AND TREE CHIPPERS - DIESEL POWERED DISC TYPE BRUSH LOG CHIPPERS,1,1,6,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
02090,020,"TREE & ROOT CUTTERS & GRINDERS - AGRICULTURAL EQUIPMENT, TREE AND ROOT CUTTERS AND STUMP GRINDERS - TOWABLE STUMP GRINDER",1,1,12,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
02540,025,"AIR COMPRESSOR, BREATHING - FURNISH & INSTALL STATIONARY AIR COMPRESSOR SYSTEM PER SPECIFICATION",1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
03105,031,"AIR CONDITIONERS, WINDOW MOUNTED - 18,000 BTU, 208/230 VOLTS",2,2,2,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
03167,031,"HVAC EQUIP, PARTS AND ACCESSORIES - MISCELLANEOUS MATERIAL MARGINS; NON-TRANE PARTS FOR EQUIP REPAIR AND MAINTENANCE, DISCOUNT OFF OF MOST CURRENT MANUFACTURER PRICE LIST 27.50% DISCOUNT",3,3,4235,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
03550,035,"HELICOPTERS - HELICOPTER, CHICAGO POLICE DEPT. ENFORCEMENT, AS PER SPECIFICATIONS",1,1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
03569,035,Magnetometer,1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
03595,035,X-Ray Machine and Accessories ( Roller Table),1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
03752,037,PROMOTIONAL ITEMS (MISC) - RUSH DELIVERY SERVICES (WITHIN 48 HOURS),1,1,1,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
04003,040,"ANIMAL CARE SUPPLIES, ONE - PIECE CARDBOARD - CONSTRUCTION - VENTILATED HOLES W/BUILT-IN-HANDLE AT TOP CAT CARRIERS - 171/2""L x 121/4"" H x 81/2"" W-40LB MINIMUM WEIGHT (25 CARRIERS PER CASE)",3,3,20,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
04030,040,"DOGS, LAW ENFORCEMENT - HERDING BREED",1,1,6,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
04050,040,"GRAZING ANIMALS - GRAZING ANIMALS, FOR LANDSCAPE GRAZING SERVICES, PRICED PER EACH ANIMAL PER DAY",1,1,27,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
05516,055,"CONSOLES, VEHICLE - AUTOMOTIVE ACCESSORIES - CONSOLES RADIO CONSOLE",1,1,4,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
05535,055,"GLOBAL POSITIONING SYSTEMS FOR TRACKING VEHICLES - AVL SYSTEM, AWD POLICE PURSUIT UTILITY VEHICLE",1,1,93,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
05538,055,"HEATERS, AUTOMOTIVE - AUTOMOTIVE ACCESSORIES - HEATERS, AFTERMARKET AUXILIARY HEATER",1,1,3,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
05554,055,"SPOTLIGHTS, VEHICLE - SPOTLIGHT, AWD POLICE PURSUIT UTILITY VEHICLE",2,2,31,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
05557,055,"LIGHTS, PARTS AND ACCESSORIES, MISC. - MARKED POLICE LIGHTING PACKAGE, AWD POLICE PURSUIT UTILITY VEHICLE",11,11,274,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
05574,055,"RACKS, VEHICLE(GUN,HAT,ETC) - WEAPON LOCK, AWD POLICE PURSUIT UTILITY VEHICLE",2,2,47,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
05575,055,"REEL ASSEMBLY, VEHICLE MOUNTED - COMPUTER PREP PACKAGE, AWD POLICE PURSUIT UTLITY VEHICLE",1,1,51,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
